iter	Passed	Remaining
399	68729	34364
400	68942	34213
401	69148	34057
402	69379	33915
403	69606	33769
404	69831	33622
405	70054	33474
406	70278	33326
407	70560	33204
408	70800	33063
409	71047	32924
410	71276	32776
411	71503	32627
412	71700	32464
413	71928	32315
414	72148	32162
415	72349	32000
416	72543	31835
417	72773	31686
418	72955	31515
419	73142	31346
420	73327	31177
421	73515	31008
422	73700	30839
423	73885	30669
424	74060	30495
425	74242	30324
426	74426	30154
427	74618	29986
428	74798	29814
429	74983	29644
430	75162	29472
431	75351	29303
432	75531	29131
433	75720	28962
434	75896	28788
435	76073	28614
436	76248	28440
437	76431	28269
438	76632	28104
439	76815	27932
440	76992	27759
441	77169	27585
442	77351	27413
443	77546	27246
444	77726	27073
445	77939	26911
446	78128	26741
447	78309	26569
448	78495	26398
449	78710	26236
450	78893	26064
451	79075	25891
452	79252	25717
453	79432	25544
454	79614	25371
455	79793	25197
456	79967	25022
457	80147	24849
458	80322	24674
459	80501	24500
460	80678	24326
461	80857	24152
462	81037	23978
463	81222	23806
464	81397	23631
465	81582	23459
466	81760	23285
467	81968	23119
468	82161	22949
469	82337	22774
470	82591	22620
471	82887	22477
472	83075	22305
473	83261	22132
474	83437	21957
475	83615	21782
476	83795	21607
477	83981	21434
478	84177	21264
479	84396	21099
480	84605	20931
481	84793	20758
482	84976	20584
483	85158	20409
484	85342	20235
485	85523	20061
486	85714	19888
487	85890	19712
488	86076	19538
489	86252	19362
490	86435	19188
491	86613	19012
492	86794	18837
493	86974	18662
494	87158	18488
495	87335	18312
496	87521	18138
497	87710	17964
498	87898	17791
499	88076	17615
500	88255	17439
501	88437	17264
502	88620	17089
503	88796	16913
504	88984	16739
505	89163	16563
506	89345	16388
507	89522	16212
508	89703	16037
509	89877	15860
510	90063	15686
511	90238	15509
512	90425	15335
513	90604	15159
514	90799	14986
515	90979	14810
516	91159	14634
517	91337	14458
518	91520	14283
519	91698	14107
520	91880	13932
521	92055	13755
522	92237	13579
523	92415	13403
524	92596	13228
525	92772	13051
526	92958	12876
527	93136	12700
528	93316	12524
529	93496	12348
530	93679	12173
